Topic,Definition of the topic,Rate,Rating
cup,cup (s),0,Zero
cup,bottle,0,Zero
cup, We calibrate with it,1,One
cup, It is placed with a cup of coffee,1,One
cup,We drink in it,2,Two
cup,A cup to drink from,2,Two
cup,We put water/juice/tea in it and drink it,2,Two
cup,Something made of glass that we drink from,2,Two
cup,"Something to put water, juice, tea in",2,Two
 Veil,Colorful,0,Zero
 Veil,short,0,Zero
 Veil,At his death,0,Zero
 Veil,My mother's,0,Zero
 Veil,Made of silk and cotton,1,One
 Veil,We wear it and pray/go out with it,1,One
 Veil,We wrap it up and wear it (S),1,One
 Veil,Women wear it,1,One
 Veil,wear (s),1,One
 Veil,We wear it and go out with it,1,One
 Veil,Women wear it on their heads when they go out on the street,2,Two
 Veil,Something for a girl to cover her hair with,2,Two
 Veil,A covering that a girl wears on her head when praying and going out,2,Two
 Veil, scarf that we wear on our heads,2,Two
 Veil,head cover,2,Two
 Veil,A Muslim girl puts it on her head and it is a head covering,2,Two
 Veil,Hair cover,2,Two
orange, It means orange (s),0,Zero
orange,Round,0,Zero
orange,juice,0,Zero
orange,delicious,0,Zero
orange,Yellow and green,0,Zero
orange,We eat it,1,One
orange,Type of fruit (S),1,One
orange,We eat it and color it,1,One
orange,orange,1,One
orange,fruit (s),1,One
orange,We eat it (S),1,One
orange,We peel it and eat it,1,One
orange,Round fruit and we eat it,2,Two
orange,Fruit (rounded winter/orange in color/pinkle),2,Two
orange,A winter fruit that we eat and make juice from,2,Two
 dog,He runs and drinks,0,Zero
 dog,Floating,0,Zero
 dog,Dodge (S),0,Zero
 dog,He eats cats,0,Zero
 dog,An animal walking in the street,0,Zero
 dog,Bihuhu (S),1,One
 dog,"In the street, he bites and dies",1,One
 dog,An animal that may be a predator first,1,One
 dog,pet that we can raise at home,2,Two
 dog,A loyal animal and friend of man,2,Two
 dog,An animal guards us,2,Two
 dog,A dog in the street guarding the house or land,2,Two
parrot,Beitir (S),0,Zero
parrot,We eat it,0,Zero
parrot,A domestic animal that lives in agricultural areas,0,Zero
parrot,domestic,0,Zero
parrot,Colored crow (S),0,Zero
parrot,Bathroom uniform,0,Zero
parrot,bird,1,One
parrot,"Bagghan, a bird",1,One
parrot,He repeats the words (S),1,One
parrot,It eats grains and has a beautiful color,1,One
parrot,He flies and lives in a nest,1,One
parrot,He sings,1,One
parrot,A bird repeating the words,2,Two
parrot,A bird imitating a human voice,2,Two
parrot,"A type of bird that has soft, beautiful feathers and repeats words",2,Two
parrot,A bird that can be trained to talk,2,Two
rebuke,A bad thing or a bad word,0,Zero
rebuke,It's a bad word,0,Zero
rebuke,He mocks,0,Zero
rebuke,cuisine,0,Zero
rebuke,Correcting errors for a young child (S),0,Zero
rebuke,Insulting and cursing / insemination,1,One
rebuke,Reprimanding him for his mistake,1,One
rebuke,bad talk(s),1,One
rebuke,insult,1,One
rebuke,Disparaging others,1,One
rebuke,Someone scolds someone,1,One
rebuke, Reprimand,2,Two
rebuke,Blame and reproach,2,Two
rebuke,Reprimanding or blaming someone for a mistake,2,Two
rebuke,Blame violently,2,Two
rebuke,Severe blaming a person is an expression of dissatisfaction,2,Two
core,Fruit seed,0,Zero
core,Located inside the tree,0,Zero
core,inside the plant,0,Zero
core,Something to eat and have fun,0,Zero
core,What we chirp,0,Zero
core,Meaning/origin,1,One
core,Earth's core,1,One
core,What's inside thing(s),1,One
core,"It is called the core of the thing, meaning the origin of the thing",1,One
core,heart,2,Two
core,Mind,2,Two
core,Basis/essence of content (thing),2,Two
core,"Conclusion, content",2,Two
core, Center or middle,2,Two
core,The inside/center of the thing,2,Two
core,What is inside something (i.e. the essence of something),2,Two
whine,It is selfish and spiteful,0,Zero
whine,selfish,0,Zero
whine,to regret,0,Zero
whine,low voice,0,Zero
whine,Animal sound,0,Zero
whine,Bee's voice,0,Zero
whine,Someone calling for help,0,Zero
whine,Thin or low voice,0,Zero
whine,Crying,1,One
whine,Crying softly,1,One
whine,shouting,1,One
whine,He's crying,1,One
whine,Crying loudly,1,One
whine,The sound of something like the groan of the oppressed expresses the feeling of (S),1,One
whine,"A sound made by pain, illness, or pain",2,Two
whine,A cry of pain,2,Two
whine, It hurt,2,Two
whine,"Crying, sadness, pain",2,Two
whine,groan,2,Two
Paradox,The difference between two things,0,Zero
Paradox,infringement,0,Zero
Paradox,Something crucial in a person's life,0,Zero
Paradox,comparison,0,Zero
Paradox,Points of difference,0,Zero
Paradox,farewell,1,One
Paradox,"Leaving, leaving",1,One
Paradox,"Separation, abandonment",1,One
Paradox,The quarrel,1,One
Paradox,Away and away,2,Two
Paradox,Separation,2,Two
Paradox,Funny or funny,2,Two
Paradox,strange unexpected situation,2,Two
Paradox,A funny and surprising situation,2,Two
Paradox,Inconsistency in what a person says and does,2,Two
punishment,Fabric scraps,0,Zero
punishment,short stories,0,Zero
punishment,the kill,0,Zero
punishment,Someone is saying something,0,Zero
punishment,Story - tale,0,Zero
punishment,Tells,0,Zero
punishment,He cuts,0,Zero
punishment,Cloth pieces,0,Zero
punishment,rule (s),0,Zero
punishment,Justice,1,One
punishment,revenge,1,One
punishment,He gets his due,1,One
punishment,penalty,1,One
punishment,avenger,1,One
punishment,Law Enforcement (S),1,One
punishment,Islamic rule (S),1,One
punishment,"And there is life for you in retaliation, O people of understanding. (S)",1,One
punishment,Taking the right and executing the sentence on the one who was killed,2,Two
punishment,Haddad (S) Whoever kills shall be killed,2,Two
punishment,"Taking the legal right “And there is life for you in retaliation, O people of understanding.”",2,Two
punishment,Sentence of death and execution,2,Two
punishment,Executing the sentence on the killer,2,Two
punishment,An Islamic ruling applies to the murderer by killing him,2,Two
punishment,"One of God’s limits: “And there is life for you in retaliation, O people of understanding.”",2,Two
 desert,girl's name,0,Zero
 desert,Something in war (horses and horses know me),0,Zero
 desert,Empty or wide,0,Zero
 desert,A group of Bedouins,0,Zero
 desert,The beginning of something,0,Zero
 desert,horses,0,Zero
 desert,Spacious place,0,Zero
 desert,Empty place,1,One
 desert,A space or place devoid of people,1,One
 desert,desert,2,Two
 desert,Barren desert,2,Two
 desert,Barren desert,2,Two
 desert,Deserts or deserts,2,Two
recipe,fingerprint,0,Zero
recipe,event in history,0,Zero
recipe,characteristic,0,Zero
recipe,Code,0,Zero
recipe,An adjective or a nickname,0,Zero
recipe,Effect,1,One
recipe,a scar,1,One
recipe,sign (s),1,One
recipe,Something bad,1,One
recipe,Leave a trace,1,One
recipe,spot,1,One
recipe,Shame,2,Two
recipe,stain,2,Two
recipe,scandal,2,Two
recipe,Bad sign,2,Two
recipe,"An accident is not good, it is a stain on the person",2,Two
 ruins,Heights,0,Zero
 ruins,Mountain peaks,0,Zero
 ruins,Sundown,0,Zero
 ruins,Umm Kulthum,0,Zero
 ruins,Poems,0,Zero
 ruins,An empty place,0,Zero
 ruins,Loved ones,0,Zero
 ruins,memories,1,One
 ruins,Crying at home,1,One
 ruins,residue (s),1,One
 ruins,He calls places that remind him of his beloved,1,One
 ruins,Ancestral remains - heritage,1,One
 ruins,Old stuff,1,One
 ruins,Old places with memories,1,One
 ruins,Remnants of ancient places,2,Two
 ruins,Destroyed and broken homes,2,Two
 ruins,An old abandoned place or building,2,Two
 ruins,Remnants of the pre-Islamic era,2,Two
 ruins,Study places and remains of the past,2,Two
 ruins,Remnants of rubble,2,Two
bond,patience,0,Zero
bond,Hello,0,Zero
bond,linked (s),0,Zero
bond,communication,0,Zero
bond,one goal,0,Zero
bond,Collection of laces,0,Zero
bond,marriage,0,Zero
bond,Holding on to a need,0,Zero
bond,Collection collection,0,Zero
bond,power,1,One
bond,Link,1,One
bond,Covenant,1,One
bond,pregnancy,1,One
bond,Friendship and love,1,One
bond,link,1,One
bond,"The capital of Morocco (Yes, but what does it mean)",1,One
bond,A need that connects two needs,2,Two
bond,Cohesion and interconnectedness,2,Two
bond,"Coherence, documents",2,Two
bond,Horse reins or leash,2,Two
bond,He collected the bands of a group of armies in the Almighty’s saying (And prepare against them whatever force you are able of and of the strength of horses),2,Two
bond,Waiting for jihad for the sake of God,2,Two
Half,line,0,Zero
Half,beautiful,0,Zero
Half,Part of a line,0,Zero
Half,What is the first part of the verse called?,1,One
Half,House part,1,One
Half, Part of a poem or sentence of a story,1,One
Half,Part of something,1,One
Half,"Text, half of the thing",2,Two
Half,One part of the verse,2,Two
Half, A clip from a verse of poetry,2,Two
Half,"hand, direction",2,Two
Half,Face or direction (turn your faces towards each other),2,Two
Pack,He messes with things,0,Zero
Pack,It fills and conceals his worries,0,Zero
Pack,He gets tired,0,Zero
Pack,He refuses,0,Zero
Pack,Searching,0,Zero
Pack,He endures,1,One
Pack,He takes away the responsibility for something,1,One
Pack,Heavy load,1,One
Pack,He does the thing and bears it,1,One
Pack,Cares about,2,Two
Pack,Loaded with worries,2,Two
Pack,Care,2,Two
Pack,careworn,2,Two
Pack,Burden and burden,2,Two
credibility,Agreed upon between the two parties,0,Zero
credibility,The extent of honesty,0,Zero
credibility,friendship,0,Zero
credibility,Origin,0,Zero
credibility,Understand the thing before,0,Zero
credibility,Saying it,0,Zero
credibility,reality,0,Zero
credibility,agreement,0,Zero
credibility,Accomplish what is done,0,Zero
credibility,The right words,1,One
credibility,facts(s),1,One
credibility,"Truth, transparency and honesty",1,One
credibility,"Frankness, honesty",1,One
credibility,Honesty in everything,1,One
credibility,Matching words with actions and reality,2,Two
credibility,Matching promises and execution,2,Two
credibility,Honesty with oneself and honesty,2,Two
credibility,The agreement is that no one deceives the other,2,Two
credibility,Trustworthy or reliable,2,Two
credibility,Honesty in dealing,2,Two
consequences,problems,0,Zero
consequences,contraindications,0,Zero
consequences,"Hardships, problems",0,Zero
consequences,The problems that afflict a person,0,Zero
consequences,"Troubles, obstacles",0,Zero
consequences," Barriers, contraindications",0,Zero
consequences,Punishments,0,Zero
consequences,Hardships,0,Zero
consequences, The right need,0,Zero
consequences,result (s),1,One
consequences,effects (s),1,One
consequences,What comes after a certain event,1,One
consequences,end,1,One
